Beipiaosaurus|bay-pyow-sore-us|Beipiao lizard|Xu, Tang and Wang|1999
Mussaurus|moos-SORE-us|mouse lizard|Bonaparte and Vince|1979
Styracosaurus|sty-RAK-oh-sore-us|spiked lizard|Lambe|1913
Eoraptor|EE-oh-RAP-tor|early plunderer|Sereno, Forster, Rogers and Monetta|1993
Coelurus|seel-YEW-rus|hollow tail|Marsh|1879
Leaellynasaura|LEE-ELL-IN-a-SORE-a|Leaellyn's lizard|Rich and Rich|1989
Syntarsus |sin-tar-sus|fused tarsus|Raath|1969
Dryptosaurus|drip-toe-SORE-us|tearing lizard|Cope|1866
Mamenchisaurus|mah-men-chi-sore-us|Mamenchi lizard|Young|1954
Achelousaurus|ah-KEL-oo-SORE-us|Achelous' lizard|Sampson|1995
Aragosaurus|ahr-ah-go-sore-us|Aragón lizard|Sanz, Buscalioni, Casanovas and Sanafé|1987
Panoplosaurus|pan-op-loh-sore-us|fully-armoured lizard|Lambe|1919
Probactrosaurus|proh-bak-troh-sore-us|before Bactrosaurus|Rozhdestvensky|1966
Ouranosaurus|oo-RAH-noh-sore-us|brave monitor lizard|Taquet|1976
Dromiceiomimus|dro-MI-see-oh-me-muss|emu mimic|Parks|1926
Gorgosaurus|gor-goh-sore-us|fierce lizard|Lamb|1914
Seismosaurus|SIZE-moh-SORE-us|earth-shaking lizard|Gillette|1991
Urbacodon|urb-ah-ko-don|URBAC tooth|Averianov and Sues|2007
Barosaurus|BAR-oh-sore-us|heavy lizard|Marsh|1890
Wuerhosaurus|woo-uhr-huh-sore-us|Wuerho lizard|Dong|1973
Sonidosaurus|soh-nid-oh-sore-us|Sonid (area in which the type locality is) lizard|Xu, Zhang, Tan, Zhao and Tan|2006
Minmi|min-mie|named after Minmi Crossing|Molnar|1980
Noasaurus|noh-ah-sore-us|northwestern Argentina lizard|Bonaparte and Powell|1980
Elaphrosaurus|el-a-fro-sore-us|fleet lizard|Janensch|1920
Ampelosaurus|am-pel-oh-sore-us|vineyard lizard|Le Loeuff|1995
Liaoceratops|lyow-serra-tops|Liaoning horned face|Xu, Makovicky, Wang, Norell and You|2002
Proceratosaurus|proh-ker-at-oh-sore-us|before Ceratosaurus|Woodward|1910
Struthiosaurus|strew-thee-oh-sore-us|ostrich lizard|Bunzel|1871
Baryonyx|bah-ree-ON-icks|heavy claw|Charig and Milner|1987
Pisanosaurus|pee-sahn-oh-sore-us|Pisano's lizard|Casamiquela|1967
Talarurus|tal-a-roor-us|wicker tail|Maleev|1952
Achillobator|a-kil-oh-bah-tor|Achilles hero|Perle, Norell and Clark|1999
Mapusaurus|mah-puh-sore-us|Earth (Mapuche language|Coria and Currie|2006
Hagryphus|ha-grif-us|Ha (Egyptian god of the western desert) griffin|Zanno and Sampson|2005
Antarctopelta|ant-arc-toe-pel-ta|Antarctic shield|Salgado and Gasparini|2006
Lycorhinus|liek-oh-rien-us|wolf snout|Haughton|1924
Sinosauropteryx|sine-oh-sore-op-ter-iks|Chinese lizard wing|Ji and Ji|1996
Telmatosaurus|tel-ma-toh-sore-us|swamp lizard|Nopcsa|1900
Dryosaurus|dry-oh-SORE-us|oak lizard|Marsh|1894
Gallimimus|gal-lee-MEEM-us|chicken mimic|Osmólska, Roniewicz and Barsbold|1972
Hypselosaurus|hip-sell-oh-sore-us|high ridged lizard|Matheron|1869
Herrerasaurus|herr-ray-rah-SORE-us|Herrera's lizard|Reig|1963
Confuciusornis|kon-few-shus-or-niss|Confucius bird|Hou, Zhou, Gu and Zhang|1995
Bagaceratops|Bag-a-ser-a-tops|small-horned face|Maryanska and Osmolska|1975
Polacanthus|pol-a-KAN-thus|many spines|Hulke|1881
Abelisaurus|ah-BEEL-ee-sore-us|Abel's lizard|Bonaparte and Novas|1985
Protoceratops|pro-toe-ker-ah-tops|first horned face|Granger and Gregory|1923
Khaan|kahn|ruler|Clark, Norell and Barsbold|2001
Scutellosaurus|skoo-tell-oh-sore-us|small shield lizard|Colbert|1981
Udanoceratops|oo-dahn-oh-serra-tops|Udan [Sayr] horned face|Kurzanov|1992
Bellusaurus|bel-uh-sore-us|fine lizard|Dong and Azuma|1990
Lexovisaurus|Lex-oh-vee-sore-us|Lexovii lizard|Hoffstetter|1957
Gasosaurus|gas-oh-SORE-us|gas lizard|Dong and Tang|1985
Segisaurus|sayg-ee-sore-us|Segi [Canyon] lizard|Camp|1936
Utahraptor|YOO-tah-RAP-tor|Utah plunderer|Kirkland, Gaston and Burge|1993
Tsagantegia|tsah-gahn-tay-gee-a|Tsagan Teg|Tumanova|1993
Saltasaurus|salt-a-sore-us|Salta lizard|Bonaparte and Powell|1980
Emausaurus|em-ow-sore-us|EMAU (Ernst-Moritz-Arndt-Universität) lizard|Haubold|1991
Garudimimus|ga-roo-dee-meem-us|Garuda mimic|Barsbold|1981
Anatotitan|an-at-oh-TIE-tan|giant duck||
Yangchuanosaurus|yang-choo-AHN-oh-SORE-us|Yangchuan lizard|Dong, Chang, Li and Zhou|1978
Rebbachisaurus|re-bash-i-sore-us|[Ait] Rebbach lizard|Lavocat|1954
Cedarpelta|see-dar-pel-tuh|Cedar [Mountain Formation] shield|Carpenter, Kirkland, Burge and Bird|2001
Chaoyangsaurus|chow-yahng-sore-us|Chaoyang lizard|Zhao, Cheng and Xu|1999
Agilisaurus|aj-i-li-sore-us|agile lizard|Peng|1990
Eotyrannus|ee-oh-ti-ran-us|dawn tyrant|Hutt, Naish, Martill, Barker and Newberry|2001
