Eoraptor,sci_4,char_4
Dromiceiomimus,sci_14,char_13
Baryonyx,sci_26,char_25
Gallimimus,sci_37,char_33
Protoceratops,sci_43,char_38
Utahraptor,sci_50,char_42
Troodon,sci_65,char_49
Pachycephalosaurus,sci_68,char_52
Maiasaura,sci_72,char_55
Lesothosaurus,sci_75,char_58
Psittacosaurus,sci_77,char_60
Tenontosaurus,sci_79,char_62
Triceratops,sci_88,char_66
Centrosaurus,sci_94,char_69
Tyrannosaurus,sci_99,char_72
Allosaurus,sci_109,char_75
Iguanodon,sci_115,char_79
Massospondylus,sci_116,char_80
Orodromeus,sci_122,char_84
Camptosaurus,sci_147,char_93
Microraptor,sci_150,char_94
Deinonychus,sci_153,char_95
Argentinosaurus,sci_155,char_97
Plateosaurus,sci_174,char_104
Tuojiangosaurus,sci_175,char_105
Cryolophosaurus,sci_177,char_107
Ankylosaurus,sci_180,char_112
Dilophosaurus,sci_202,char_120
Albertosaurus,sci_210,char_122
Edmontosaurus,sci_217,char_126
Spinosaurus,sci_222,char_128
Coelophysis,sci_240,char_133
Chasmosaurus,sci_244,char_135
Compsognathus,sci_256,char_137
Camarasaurus,sci_258,char_138
Struthiomimus,sci_261,char_139
Dromaeosaurus,sci_266,char_140
Parasaurolophus,sci_267,char_141
Giganotosaurus,sci_272,char_142
Caudipteryx,sci_275,char_143
Oviraptor,sci_283,char_146
Euoplocephalus,sci_285,char_148
Velociraptor,sci_287,char_150
Archaeopteryx,sci_288,char_151
Hypsilophodon,sci_302,char_154
Diplodocus,sci_303,char_155
